"","Package","Version","License","Built"
"143","gitcreds","0.1.2","MIT + file LICENSE","4.4.1"
"144","Glimma","2.14.0","GPL-3","4.4.1"
"145","glmGamPoi","1.16.0","GPL-3","4.4.1"
"146","globals","0.16.3","LGPL (>= 2.1)","4.4.1"
"147","glue","1.7.0","MIT + file LICENSE","4.4.1"
"148","GO.db","3.19.1","Artistic-2.0","4.4.1"
"149","goftest","1.2-3","GPL (>= 2)","4.4.1"
"150","googledrive","2.1.1","MIT + file LICENSE","4.4.1"
"151","googlesheets4","1.1.1","MIT + file LICENSE","4.4.1"
"152","GOSemSim","2.30.0","Artistic-2.0","4.4.1"
"153","GOstats","2.70.0","Artistic-2.0","4.4.1"
"154","gplots","3.1.3.1","GPL-2","4.4.1"
"155","graph","1.82.0","Artistic-2.0","4.4.1"
"156","graphlayouts","1.1.1","MIT + file LICENSE","4.4.1"
"157","gridExtra","2.3","GPL (>= 2)","4.4.1"
"158","gridGraphics","0.5-1","GPL (>= 2)","4.4.1"
"159","GSEABase","1.66.0","Artistic-2.0","4.4.1"
"160","gson","0.1.0","Artistic-2.0","4.4.1"
"161","gtable","0.3.5","MIT + file LICENSE","4.4.1"
"162","gtools","3.9.5","GPL-2","4.4.1"
"163","haven","2.5.4","MIT + file LICENSE","4.4.1"
"164","HDF5Array","1.32.0","Artistic-2.0","4.4.1"
"165","HDO.db","0.99.1","Artistic-2.0","4.4.1"
"166","here","1.0.1","MIT + file LICENSE","4.4.1"
"167","hexbin","1.28.3","GPL-2","4.4.1"
"168","hgug4112a.db","3.2.3","Artistic-2.0","4.4.1"
"169","highr","0.11","GPL","4.4.1"
"170","Hmisc","5.1-3","GPL (>= 2)","4.4.1"
"171","hms","1.1.3","MIT + file LICENSE","4.4.1"
"172","htmlTable","2.4.3","GPL (>= 3)","4.4.1"
"173","htmltools","0.5.8.1","GPL (>= 2)","4.4.1"
"174","htmlwidgets","1.6.4","MIT + file LICENSE","4.4.1"
"175","httpuv","1.6.15","GPL (>= 2) | file LICENSE","4.4.1"
"176","httr","1.4.7","MIT + file LICENSE","4.4.1"
"177","httr2","1.0.2","MIT + file LICENSE","4.4.1"
"178","hwriter","1.3.2.1","LGPL-2.1","4.4.1"
"179","ica","1.0-3","GPL (>= 2)","4.4.1"
"180","ids","1.0.1","MIT + file LICENSE","4.4.1"
"181","igraph","2.0.3","GPL (>= 2)","4.4.1"
"182","illuminaio","0.46.0","GPL-2","4.4.1"
"183","impute","1.78.0","GPL-2","4.4.1"
"184","ini","0.3.1","GPL-3","4.4.1"
"185","IRanges","2.38.1","Artistic-2.0","4.4.1"
"186","irlba","2.3.5.1","GPL-3","4.4.1"
"187","isoband","0.2.7","MIT + file LICENSE","4.4.1"
"188","iterators","1.0.14","Apache License (== 2.0)","4.4.1"
"189","jquerylib","0.1.4","MIT + file LICENSE","4.4.1"
"190","jsonlite","1.8.8","MIT + file LICENSE","4.4.1"
